1x10^5 Time (s)
6.035023
5.995611
6.221689
5.809282
6.34088
6.117383
6.153155
6.091685
6.453455
6.0825
5x10^5 Time (s)
6.311829
6.340222
6.790038
6.207038
6.323732
6.038198
6.312897
6.42054
6.521576
5.89597
1x10^6 Time (s)
6.062961
5.895508
6.149707
5.762786
6.181851
6.017269
5.871686
4.960403
5.073605
5.20022
5x10^6 Time (s)
5.49353
5.430687
5.584807
5.989389
5.399946
5.322599
5.713422
5.467347
5.540065
6.004844
1x10^7 Time (s)
5.929583
5.942013
5.59242
5.952551
5.798664
5.751992
5.654592
6.096587
5.524561
5.966076
5x10^7 Time (s)
9.52311
7.972125
9.364282
7.14503
6.973013
6.099187
5.537153
6.486278
5.907836
5.643032
1x10^8 Time (s)
34.242896
31.812012
27.701977
28.008555
33.834176
34.29461
26.229263
